student_id,full_name,gender,age,governorate,admission_cohort,track,attendance_rate,sessions_attended,total_sessions,exams_score,certificates_count,certificate_providers,freelancing_income_usd_total,freelancing_income_usd_monthly_est,projects_delivered,employment_status,internship_company,mentor_name,email,phone,github_url,linkedin_url,warnings_count,dropout_flag,graduated_flag,graduation_date
13,Hala Saleh,F,26,Cairo,2024-01-01,Power BI Development,0.816,78,96,80.8,1,Google,21.1,21.1,4,Full-time,DXC,Eng. Mona,hala.saleh0012@iti.eg,+2001523430980,https://github.com/halasaleh0012,https://www.linkedin.com/in/hala-saleh-0012/,0,0,1,2024-08-12
14,Alaa Shaker,M,28,Luxor,2022-11-01,Data Science,0.805,48,60,91.1,1,Coursera,0.0,0.0,2,Intern,ITWorx,Dr. Amr,alaa.shaker0013@iti.eg,+2001161939909,https://github.com/alaashaker0013,https://www.linkedin.com/in/alaa-shaker-0013/,1,0,1,2023-03-21
15,Lobna Shaker,F,23,Fayoum,2023-05-01,Power BI Development,0.72,60,84,79.5,2,"Coursera,Udacity",5.13,1.03,5,Freelancer,,Eng. Mona,,+2001275107991,https://github.com/lobnashaker0014,https://www.linkedin.com/in/lobna-shaker-0014/,1,0,1,2023-11-13
16,Amr Ali,M,27,Monufia,2023-12-01,Data Analysis,0.499,48,96,91.5,3,"Udacity,Udemy",0.0,0.0,7,Full-time,,Dr. Karim,amr.ali0015@iti.eg,+2001084124118,https://github.com/amrali0015,https://www.linkedin.com/in/amr-ali-0015/,0,0,0,
17,Youssef Shaker,M,21,Qena,2023-05-01,Cybersecurity,0.572,34,60,68.2,0,,5.19,2.6,4,Freelancer,,Dr. Amr,youssef.shaker0016@iti.eg,+2001224278680,https://github.com/youssefshaker0016,https://www.linkedin.com/in/youssef-shaker-0016/,0,0,0,
18,Hassan Elmasry,M,22,Giza,2023-12-01,Software Testing,0.595,43,72,89.3,1,DataCamp,0.0,0.0,2,Intern,Etisalat Misr,Dr. Karim,hassan.elmasry0017@iti.eg,+2001233158692,https://github.com/hassanelmasry0017,https://www.linkedin.com/in/hassan-elmasry-0017/,0,0,0,
19,Hussein Lotfy,M,21,Sohag,2022-02-01,Data Science,0.768,64,84,98.6,3,"AWS,IBM,Udemy",0.0,0.0,5,Part-time,Sumerge,Eng. Mona,hussein.lotfy0018@iti.eg,+2001142160733,https://github.com/husseinlotfy0018,https://www.linkedin.com/in/hussein-lotfy-0018/,0,0,1,2022-08-16
20,Yasmin Kamal,F,28,Cairo,2025-07-01,Power BI Development,0.455,38,84,71.1,0,,2.94,2.94,2,Intern,ITWorx,Dr. Heba,yasmin.kamal0019@iti.eg,+2001585014294,https://github.com/yasminkamal0019,https://www.linkedin.com/in/yasmin-kamal-0019/,3,0,0,
21,Ali Farag,M,19,Fayoum,2024-04-01,Software Testing,0.427,26,60,76.8,2,"AWS,Udemy",0.0,0.0,7,Full-time,SWVL,Eng. Mona,ali.farag0020@iti.eg,+2001088356159,https://github.com/alifarag0020,https://www.linkedin.com/in/ali-farag-0020/,0,0,0,
22,Hagar Shaker,F,24,Beheira,2025-07-01,Data Analysis,0.4,38,96,74.1,0,,0.0,0.0,6,Full-time,SWVL,Eng. Mona,hagar.shaker0021@iti.eg,+2001199468044,https://github.com/hagarshaker0021,https://www.linkedin.com/in/hagar-shaker-0021/,5,0,0,
23,Osama Attia,M,26,Port Said,2023-09-01,Data Engineering,0.72,69,96,96.1,0,,0.0,0.0,6,Full-time,DXC,Dr. Karim,osama.attia0022@iti.eg,+2001114895134,https://github.com/osamaattia0022,https://www.linkedin.com/in/osama-attia-0022/,1,0,1,2024-04-12
24,Omar Fathy,M,25,Cairo,2022-03-01,Power BI Development,0.4,38,96,69.9,1,Udacity,0.0,0.0,3,Full-time,Raya,Eng. Mona,omar.fathy0023@iti.eg,+2001167632016,https://github.com/omarfathy0023,https://www.linkedin.com/in/omar-fathy-0023/,0,0,0,
25,Rania Sami,F,19,Giza,2024-12-01,Power BI Development,0.4,24,60,93.6,0,,0.0,0.0,2,Unemployed,,Dr. Hossam,rania.sami0024@iti.eg,+2001279868727,https://github.com/raniasami0024,https://www.linkedin.com/in/rania-sami-0024/,2,0,0,
26,Khaled Fouad,M,18,Luxor,2024-08-01,Software Testing,0.603,51,84,88.2,2,"IBM,Microsoft",0.0,0.0,1,Full-time,Instabug,Dr. Heba,khaled.fouad0025@iti.eg,+2001022362316,https://github.com/khaledfouad0025,https://www.linkedin.com/in/khaled-fouad-0025/,1,0,0,
27,Omar Said,M,29,Minya,2025-02-01,Cybersecurity,0.586,35,60,76.2,1,Udemy,0.0,0.0,1,Full-time,Instabug,Dr. Amr,omar.said0026@iti.eg,+2001266889373,,https://www.linkedin.com/in/omar-said-0026/,1,0,0,
28,Karim Hegazy,M,24,Red Sea,2025-08-01,Web Application Development,0.667,48,72,100.0,2,"Udacity,Udemy",0.0,0.0,3,Further Study,,Dr. Hossam,karim.hegazy0027@iti.eg,+2001069901627,https://github.com/karimhegazy0027,https://www.linkedin.com/in/karim-hegazy-0027/,3,0,1,2026-01-16
29,Abdelrahman Hegazy,M,25,Fayoum,2024-01-01,Power BI Development,0.602,58,96,86.5,4,"Google,Microsoft,Udacity",22.47,5.62,6,Intern,Etisalat Misr,Dr. Hossam,abdelrahman.hegazy0028@iti.eg,+2001231003309,https://github.com/abdelrahmanhegazy0028,https://www.linkedin.com/in/abdelrahman-hegazy-0028/,2,0,1,2024-08-12
30,Youssef Farag,M,27,Gharbia,2025-03-01,Software Testing,0.663,40,60,75.6,4,"AWS,Coursera,Microsoft",0.0,0.0,2,Intern,Vodafone,Dr. Heba,youssef.farag0029@iti.eg,+2001049663193,https://github.com/yousseffarag0029,https://www.linkedin.com/in/youssef-farag-0029/,6,0,1,2025-07-19
31,Osama Ibrahim,M,22,Beni Suef,2024-11-01,Data Engineering,0.402,34,84,90.7,0,,45.88,3.82,2,Full-time,Careem,Eng. Ahmed,osama.ibrahim0030@iti.eg,+2001065726284,https://github.com/osamaibrahim0030,https://www.linkedin.com/in/osama-ibrahim-0030/,6,0,1,2025-05-16
32,Shaimaa Said,F,26,Ismailia,2023-06-01,Data Analysis,0.761,55,72,99.6,1,IBM,0.0,0.0,8,Intern,Valu,Eng. Ahmed,shaimaa.said0031@iti.eg,+2001599650752,,https://www.linkedin.com/in/shaimaa-said-0031/,2,0,1,2023-11-16
33,Youssef Hegazy,M,18,Kafr El Sheikh,2025-03-01,Web Application Development,0.62,52,84,92.2,0,,0.0,0.0,1,Full-time,Sumerge,Eng. Rania,youssef.hegazy0032@iti.eg,+2001578377701,https://github.com/youssefhegazy0032,https://www.linkedin.com/in/youssef-hegazy-0032/,0,0,0,
34,Karim Kamal,M,25,Beheira,2025-07-01,Software Testing,0.4,38,96,70.1,0,,0.0,0.0,1,Part-time,,Dr. Hossam,karim.kamal0033@iti.eg,+2001274443135,https://github.com/karimkamal0033,https://www.linkedin.com/in/karim-kamal-0033/,1,0,0,
35,Hany Lotfy,M,25,Dakahlia,2023-02-01,Web Application Development,0.465,39,84,82.0,2,"Coursera,Udacity",0.0,0.0,3,Further Study,,Dr. Heba,hany.lotfy0034@iti.eg,+2001034352408,https://github.com/hanylotfy0034,https://www.linkedin.com/in/hany-lotfy-0034/,2,0,0,
36,Ibrahim Fathy,M,22,Port Said,2024-08-01,Data Science,0.784,47,60,98.1,3,"Google,Microsoft,Udacity",0.0,0.0,4,Full-time,Instabug,Eng. Ahmed,ibrahim.fathy0035@iti.eg,+2001104711671,https://github.com/ibrahimfathy0035,https://www.linkedin.com/in/ibrahim-fathy-0035/,0,0,1,2024-12-19
37,Hagar Ali,F,20,Monufia,2022-08-01,Data Engineering,0.614,59,96,94.5,2,"Google,Microsoft",0.0,0.0,3,Full-time,SWVL,Dr. Hossam,hagar.ali0036@iti.eg,,https://github.com/hagarali0036,https://www.linkedin.com/in/hagar-ali-0036/,1,0,0,
38,Dina Nasser,F,20,Kafr El Sheikh,2025-07-01,Data Science,0.4,29,72,77.6,0,,8.11,1.62,2,Intern,Sumerge,Eng. Ahmed,dina.nasser0037@iti.eg,+2001540344713,https://github.com/dinanasser0037,https://www.linkedin.com/in/dina-nasser-0037/,1,0,1,2025-12-16
39,Lobna Nasser,F,22,Sohag,2022-08-01,Data Engineering,0.626,45,72,79.9,0,,0.0,0.0,6,Unemployed,,Eng. Rania,lobna.nasser0038@iti.eg,+2001299471746,https://github.com/lobnanasser0038,https://www.linkedin.com/in/lobna-nasser-0038/,1,0,1,2023-01-16
40,Rania Elmasry,F,26,Qena,2024-05-01,Data Science,0.414,25,60,63.7,0,,0.0,0.0,2,Full-time,Vodafone,Dr. Amr,rania.elmasry0039@iti.eg,+2001199049027,https://github.com/raniaelmasry0039,https://www.linkedin.com/in/rania-elmasry-0039/,1,0,0,
41,Abdelrahman Fouad,M,27,Gharbia,2025-02-01,Data Engineering,0.41,39,96,55.5,0,,0.0,0.0,6,Full-time,ITWorx,Dr. Heba,abdelrahman.fouad0040@iti.eg,+2001025674680,,https://www.linkedin.com/in/abdelrahman-fouad-0040/,0,0,0,
42,Tarek Fouad,M,21,Fayoum,2022-08-01,Cloud Engineering,0.434,42,96,86.7,0,,0.0,0.0,4,Unemployed,,Dr. Karim,tarek.fouad0041@iti.eg,+2001560385977,https://github.com/tarekfouad0041,https://www.linkedin.com/in/tarek-fouad-0041/,4,0,1,2023-03-13
43,Dina Fouad,F,18,Aswan,2022-09-01,Cybersecurity,0.808,78,96,98.5,2,DataCamp,0.0,0.0,6,Full-time,ITWorx,Dr. Amr,dina.fouad0042@iti.eg,+2001124808613,,https://www.linkedin.com/in/dina-fouad-0042/,2,0,1,2023-04-13
44,Mostafa Fathy,M,18,Qena,2023-07-01,Data Engineering,0.679,57,84,91.0,3,"AWS,IBM,Udemy",0.0,0.0,4,Full-time,,Eng. Ahmed,mostafa.fathy0043@iti.eg,+2001582639821,https://github.com/mostafafathy0043,https://www.linkedin.com/in/mostafa-fathy-0043/,0,0,1,2024-01-13
45,Rania Fouad,F,27,Cairo,2023-07-01,Web Application Development,0.706,68,96,77.1,2,"AWS,IBM",0.0,0.0,5,Part-time,Instabug,Eng. Ahmed,rania.fouad0044@iti.eg,+2001288675339,https://github.com/raniafouad0044,https://www.linkedin.com/in/rania-fouad-0044/,0,0,1,2024-02-10
46,Tarek Mostafa,M,22,Minya,2024-01-01,Cloud Engineering,0.695,50,72,76.0,2,"AWS,DataCamp",0.0,0.0,6,Intern,Raya,Dr. Hossam,,+2001217187026,https://github.com/tarekmostafa0045,https://www.linkedin.com/in/tarek-mostafa-0045/,3,0,1,2024-06-17
47,Youssef Hegazy,M,21,Suez,2025-09-01,Data Analysis,0.702,42,60,85.3,2,"DataCamp,Google",0.0,0.0,2,Unemployed,,Dr. Karim,youssef.hegazy0046@iti.eg,+2001557809134,https://github.com/youssefhegazy0046,https://www.linkedin.com/in/youssef-hegazy-0046/,0,0,1,2026-01-19
48,Mostafa Yousef,M,26,Assiut,2022-11-01,Web Application Development,0.4,24,60,69.8,1,Microsoft,12.74,1.59,1,Full-time,SWVL,Dr. Heba,mostafa.yousef0047@iti.eg,+2001138692221,https://github.com/mostafayousef0047,https://www.linkedin.com/in/mostafa-yousef-0047/,3,0,0,
49,Yasmin Mostafa,F,21,Ismailia,2022-10-01,Power BI Development,0.733,62,84,100.0,0,,0.0,0.0,6,Full-time,Careem,Dr. Karim,yasmin.mostafa0048@iti.eg,+2001282175946,https://github.com/yasminmostafa0048,https://www.linkedin.com/in/yasmin-mostafa-0048/,0,0,1,2023-04-15
50,Shaimaa Gamal,F,20,Dakahlia,2024-01-01,AI Engineering,0.613,37,60,98.0,0,,15.1,3.77,1,Full-time,Fawry,Eng. Mona,shaimaa.gamal0049@iti.eg,+2001064090974,https://github.com/shaimaagamal0049,,0,0,0,
51,Nada Kamal,F,21,Port Said,2023-01-01,Software Testing,0.475,34,72,78.1,3,"Microsoft,Udacity",0.0,0.0,4,Further Study,,Dr. Heba,nada.kamal0050@iti.eg,,https://github.com/nadakamal0050,https://www.linkedin.com/in/nada-kamal-0050/,0,0,0,
52,Rania Shaker,F,25,Kafr El Sheikh,2022-11-01,Power BI Development,0.669,64,96,71.2,2,"AWS,Coursera",0.0,0.0,4,Part-time,Instabug,Dr. Karim,rania.shaker0051@iti.eg,+2001071236851,https://github.com/raniashaker0051,https://www.linkedin.com/in/rania-shaker-0051/,4,0,1,2023-06-13
53,Abdelrahman Farag,M,26,Red Sea,2025-08-01,Power BI Development,0.663,64,96,87.6,1,Google,0.0,0.0,3,Further Study,,Dr. Amr,abdelrahman.farag0052@iti.eg,+2001170985931,https://github.com/abdelrahmanfarag0052,https://www.linkedin.com/in/abdelrahman-farag-0052/,3,0,1,2026-03-13
54,Ibrahim Said,M,29,Qalyubia,2022-09-01,Data Science,0.834,50,60,87.4,1,Google,18.45,1.84,4,Full-time,Valu,Dr. Amr,ibrahim.said0053@iti.eg,+2001167586926,https://github.com/ibrahimsaid0053,https://www.linkedin.com/in/ibrahim-said-0053/,1,0,1,2023-01-19
55,Reem Ibrahim,F,25,Beni Suef,2023-02-01,Data Engineering,0.503,36,72,100.0,0,,0.0,0.0,2,Intern,ITWorx,Dr. Hossam,reem.ibrahim0054@iti.eg,+2001206431713,https://github.com/reemibrahim0054,https://www.linkedin.com/in/reem-ibrahim-0054/,3,0,0,
56,Salma Hassan,F,23,Giza,2023-10-01,Power BI Development,0.768,55,72,73.5,1,AWS,0.0,0.0,4,Intern,DXC,Dr. Karim,salma.hassan0055@iti.eg,+2001193352904,https://github.com/salmahassan0055,https://www.linkedin.com/in/salma-hassan-0055/,2,0,1,2024-03-17
57,Hassan Elmasry,M,25,Kafr El Sheikh,2022-12-01,Data Science,0.778,47,60,93.7,1,Microsoft,22.74,11.37,3,Freelancer,,Dr. Karim,hassan.elmasry0056@iti.eg,+2001195024026,https://github.com/hassanelmasry0056,https://www.linkedin.com/in/hassan-elmasry-0056/,3,0,1,2023-04-20
58,Amr Shaker,M,24,Ismailia,2022-07-01,Data Engineering,0.822,59,72,92.8,2,"Google,IBM",0.0,0.0,7,Intern,ITWorx,Dr. Karim,amr.shaker0057@iti.eg,+2001270076617,https://github.com/amrshaker0057,https://www.linkedin.com/in/amr-shaker-0057/,0,0,1,2022-12-16
59,Heba Attia,F,22,Sharqia,2022-05-01,Data Science,0.457,38,84,95.5,1,Udemy,0.0,0.0,6,Full-time,Raya,Dr. Hossam,heba.attia0058@iti.eg,+2001511836736,https://github.com/hebaattia0058,https://www.linkedin.com/in/heba-attia-0058/,0,0,0,
60,Ali Yousef,M,19,Fayoum,2024-04-01,Data Analysis,0.785,66,84,99.5,3,,0.0,0.0,6,Intern,Vodafone,Eng. Ahmed,ali.yousef0059@iti.eg,,https://github.com/aliyousef0059,https://www.linkedin.com/in/ali-yousef-0059/,0,0,1,2024-10-14
61,Amr Said,M,23,Giza,2023-07-01,Software Testing,0.684,57,84,81.4,1,Udacity,9.71,1.21,4,Full-time,ITWorx,Eng. Rania,amr.said0060@iti.eg,+2001531585149,https://github.com/amrsaid0060,https://www.linkedin.com/in/amr-said-0060/,1,0,1,2024-01-13
62,Salma Attia,F,26,Red Sea,2025-06-01,Data Engineering,0.469,39,84,69.1,0,,8.96,4.48,1,Freelancer,,Dr. Heba,salma.attia0061@iti.eg,+2001202296120,https://github.com/salmaattia0061,https://www.linkedin.com/in/salma-attia-0061/,1,0,0,
63,Dina Saleh,F,30,Sohag,2024-06-01,Data Analysis,0.43,36,84,91.2,1,Google,26.27,2.63,10,Freelancer,,Dr. Hossam,dina.saleh0062@iti.eg,+2001002290147,https://github.com/dinasaleh0062,https://www.linkedin.com/in/dina-saleh-0062/,2,0,0,
64,Doaa Fouad,F,22,Dakahlia,2024-09-01,Data Science,0.59,57,96,80.8,2,"AWS,DataCamp",21.68,4.34,6,Full-time,ITWorx,Dr. Hossam,doaa.fouad0063@iti.eg,+2001203690034,,https://www.linkedin.com/in/doaa-fouad-0063/,3,0,0,
65,Mostafa Hassan,M,18,Qena,2024-04-01,Data Science,0.635,61,96,87.8,1,Microsoft,0.0,0.0,2,Intern,DXC,Eng. Mona,mostafa.hassan0064@iti.eg,+2001216060715,https://github.com/mostafahassan0064,https://www.linkedin.com/in/mostafa-hassan-0064/,1,0,0,
66,Ali Gamal,M,25,Qalyubia,2024-02-01,Data Science,0.4,34,84,63.0,1,Coursera,5.88,1.18,3,Further Study,,Eng. Mona,ali.gamal0065@iti.eg,+2001216136968,https://github.com/aligamal0065,https://www.linkedin.com/in/ali-gamal-0065/,1,0,0,
67,Yasmin Hegazy,F,27,Gharbia,2022-05-01,Data Engineering,0.644,39,60,73.8,2,"AWS,Google",0.0,0.0,3,Intern,Sumerge,Dr. Heba,yasmin.hegazy0066@iti.eg,+2001131243292,https://github.com/yasminhegazy0066,https://www.linkedin.com/in/yasmin-hegazy-0066/,1,0,0,
68,Alaa Sami,M,29,Ismailia,2025-02-01,Data Engineering,0.457,38,84,86.0,3,"Coursera,IBM,Udemy",0.0,0.0,1,Full-time,Careem,Dr. Amr,alaa.sami0067@iti.eg,+2001544905814,https://github.com/alaasami0067,https://www.linkedin.com/in/alaa-sami-0067/,4,0,0,
69,Mahmoud Attia,M,25,Suez,2024-09-01,Data Analysis,0.495,30,60,66.5,1,Google,0.0,0.0,1,Unemployed,,Dr. Heba,mahmoud.attia0068@iti.eg,+2001582071518,https://github.com/mahmoudattia0068,https://www.linkedin.com/in/mahmoud-attia-0068/,0,0,0,
70,Abdelrahman Sami,M,25,Luxor,2024-10-01,Software Testing,0.897,75,84,96.7,1,Udemy,0.0,0.0,4,Part-time,DXC,Eng. Ahmed,abdelrahman.sami0069@iti.eg,+2001290515186,https://github.com/abdelrahmansami0069,https://www.linkedin.com/in/abdelrahman-sami-0069/,0,0,1,2025-04-15
71,Salma Fathy,F,29,Fayoum,2022-06-01,Software Testing,0.792,57,72,79.8,3,"AWS,Google",0.0,0.0,2,Part-time,Sumerge,Eng. Mona,,+2001529148652,https://github.com/salmafathy0070,https://www.linkedin.com/in/salma-fathy-0070/,1,0,1,2022-11-16
72,Rania Ali,F,23,Port Said,2025-07-01,Data Engineering,0.697,59,84,98.3,1,Microsoft,24.89,2.07,5,Freelancer,,Eng. Rania,rania.ali0071@iti.eg,+2001273322141,https://github.com/raniaali0071,https://www.linkedin.com/in/rania-ali-0071/,0,0,1,2026-01-13
73,Rania Ibrahim,F,27,Red Sea,2023-10-01,AI Engineering,0.642,46,72,80.3,2,AWS,0.0,0.0,6,Intern,DXC,Eng. Mona,rania.ibrahim0072@iti.eg,+2001170653794,https://github.com/raniaibrahim0072,https://www.linkedin.com/in/rania-ibrahim-0072/,0,0,0,
74,Khaled Gamal,M,27,Qena,2023-01-01,Data Analysis,0.727,70,96,72.6,4,"AWS,Coursera,Microsoft",0.0,0.0,5,Part-time,Valeo,Eng. Ahmed,khaled.gamal0073@iti.eg,+2001523924075,https://github.com/khaledgamal0073,https://www.linkedin.com/in/khaled-gamal-0073/,1,0,1,2023-08-13
75,Hussein Fouad,M,31,Assiut,2024-09-01,Data Science,0.628,60,96,97.4,0,,20.57,3.43,3,Further Study,,Dr. Heba,hussein.fouad0074@iti.eg,+2001060685361,https://github.com/husseinfouad0074,https://www.linkedin.com/in/hussein-fouad-0074/,2,0,0,
76,Tarek Yousef,M,27,Port Said,2023-10-01,Web Application Development,0.4,29,72,84.8,0,,4.29,1.43,4,Further Study,,Dr. Karim,tarek.yousef0075@iti.eg,+2001177901043,https://github.com/tarekyousef0075,https://www.linkedin.com/in/tarek-yousef-0075/,1,0,0,
77,Yehia Shaker,M,24,Sohag,2022-08-01,Web Application Development,0.4,29,72,82.4,0,,11.48,2.87,1,Intern,Raya,Dr. Karim,yehia.shaker0076@iti.eg,+2001511798089,,https://www.linkedin.com/in/yehia-shaker-0076/,1,0,0,
78,Hagar Said,F,22,Cairo,2025-04-01,Data Analysis,0.738,71,96,88.5,0,,29.45,29.45,4,Full-time,Instabug,Dr. Hossam,hagar.said0077@iti.eg,+2001088888067,https://github.com/hagarsaid0077,https://www.linkedin.com/in/hagar-said-0077/,0,0,1,2025-11-11
79,Nada Fouad,F,25,Cairo,2023-11-01,Web Application Development,0.796,67,84,100.0,1,Google,41.35,13.78,6,Full-time,,Dr. Amr,nada.fouad0078@iti.eg,+2001220585277,https://github.com/nadafouad0078,https://www.linkedin.com/in/nada-fouad-0078/,2,0,1,2024-05-15
80,Abdelrahman Ibrahim,M,25,Beheira,2023-01-01,Data Science,0.816,59,72,82.8,1,AWS,0.0,0.0,9,Part-time,Valeo,Dr. Heba,abdelrahman.ibrahim0079@iti.eg,+2001587403450,https://github.com/abdelrahmanibrahim0079,https://www.linkedin.com/in/abdelrahman-ibrahim-0079/,3,0,1,2023-06-18
81,Mostafa Farag,M,23,Sohag,2024-02-01,Web Application Development,0.748,72,96,78.8,1,Microsoft,3.42,0.57,2,Intern,Careem,Eng. Mona,mostafa.farag0080@iti.eg,+2001284161692,https://github.com/mostafafarag0080,https://www.linkedin.com/in/mostafa-farag-0080/,2,0,1,2024-09-12
82,Tarek Gamal,M,27,Beheira,2024-05-01,Software Testing,0.655,63,96,72.5,2,"Google,Microsoft",3.79,1.26,4,Freelancer,,Eng. Ahmed,tarek.gamal0081@iti.eg,+2001059640165,https://github.com/tarekgamal0081,https://www.linkedin.com/in/tarek-gamal-0081/,0,0,1,2024-12-11
83,Nour Attia,F,23,Red Sea,2024-05-01,Data Science,0.745,45,60,79.9,2,"Udacity,Udemy",7.15,1.19,5,Full-time,SWVL,Dr. Heba,nour.attia0082@iti.eg,+2001092755719,https://github.com/nourattia0082,https://www.linkedin.com/in/nour-attia-0082/,0,0,1,2024-09-18
84,Yasmin Yousef,F,20,Cairo,2022-12-01,Data Engineering,0.755,72,96,100.0,1,IBM,0.0,0.0,6,Intern,Fawry,Dr. Karim,yasmin.yousef0083@iti.eg,+2001539473121,https://github.com/yasminyousef0083,https://www.linkedin.com/in/yasmin-yousef-0083/,1,0,1,2023-07-13
85,Shaimaa Ali,F,23,Red Sea,2023-09-01,Web Application Development,0.582,35,60,97.0,1,Coursera,0.0,0.0,4,Part-time,Sumerge,Eng. Rania,shaimaa.ali0084@iti.eg,+2001158313237,https://github.com/shaimaaali0084,https://www.linkedin.com/in/shaimaa-ali-0084/,1,0,0,
86,Amr Sami,M,28,Aswan,2022-09-01,Software Testing,0.752,45,60,91.9,0,,18.93,1.89,6,Freelancer,,Eng. Mona,amr.sami0085@iti.eg,+2001586691251,https://github.com/amrsami0085,https://www.linkedin.com/in/amr-sami-0085/,0,0,1,2023-01-19
87,Walid Farag,M,25,Sharqia,2024-12-01,Software Testing,0.813,59,72,90.7,0,,0.0,0.0,6,Intern,Etisalat Misr,Dr. Hossam,walid.farag0086@iti.eg,+2001082422535,https://github.com/walidfarag0086,,0,0,1,2025-05-18
88,Rania Gamal,F,21,Alexandria,2023-05-01,Power BI Development,0.433,36,84,74.0,1,Coursera,5.89,5.89,2,Freelancer,,Dr. Hossam,rania.gamal0087@iti.eg,+2001199229959,https://github.com/raniagamal0087,https://www.linkedin.com/in/rania-gamal-0087/,5,0,0,
89,Osama Fouad,M,26,Port Said,2023-02-01,Web Application Development,0.578,55,96,85.9,2,IBM,0.0,0.0,5,Intern,,Dr. Hossam,osama.fouad0088@iti.eg,+2001273647102,,https://www.linkedin.com/in/osama-fouad-0088/,1,0,0,
90,Yehia Fathy,M,21,Fayoum,2023-09-01,Web Application Development,0.852,72,84,100.0,5,"Coursera,IBM,Microsoft,Udemy",0.0,0.0,8,Intern,Valeo,Dr. Heba,yehia.fathy0089@iti.eg,+2001053714732,https://github.com/yehiafathy0089,https://www.linkedin.com/in/yehia-fathy-0089/,0,0,1,2024-03-15
